,-3sigma,-2sigma,-1sigma,median,1sigma,2sigma,3sigma,best fit
a,-13.727656089382208,-11.01319329899718,-6.4133981370843,336.49740996306537,7.7517483383542185,14.750967621215977,19.18185583367415,338.7861690394851
b,-18.055069381466296,-13.845794492814889,-7.0185201211727986,325.23344652637627,5.287466234619558,9.39455931200041,12.120127296594262,325.75629136612423
c,-29.155688206686932,-22.335212720776383,-11.064625201776892,294.6307358564109,11.071914247517782,21.294659048957442,27.32094706301899,298.2761353005892
ra,-3.9837433928082824,-2.997643100372642,-1.4817677522238277,20.5397398844992,1.4792244573725348,2.984282446246908,4.044562181727688,20.69230369291443
dec,-0.8461693135646016,-0.6536054971732668,-0.3182269225900214,46.26196848017421,0.3190718501307188,0.6429187410856585,0.8536219630572006,46.23154245649136
phi,-66.38688730518308,-62.580992417955486,-41.834063364352374,67.05189733318237,64.29895190354058,108.71664902678764,112.28943053254214,44.27481051186471
f,-9.622662867454313,-7.375951331687725,-3.7768868782250733,10.989224684218453,3.869396875820934,7.6187400379126835,10.187434525546962,10.954300884806104
g,-18.874850886517407,-14.168832803136532,-7.195713377116331,-22.65543613048453,7.124382928195626,14.250977764525294,19.049537521903876,-27.13765316264958
volumetric radius,-13.75593222890302,-10.532516295915627,-5.407472463299655,318.1492697735642,5.343020495636097,10.4873625291969,13.922879894483401,320.4884114378763
density,-134.4446810423476,-102.90934979687938,-53.92028927326635,997.5438458683686,57.50866790278906,118.22112632458561,158.31020588168371,1006.1877912900977
delta mag,-0.025805307164853537,-0.019684836307184997,-0.010013311724556218,0.030361377910944246,0.009742427551001173,0.01975660329694049,0.025843640134437365,0.031626144920710926
u,-9.83403611079649,-7.264753069622543,-3.6729667029692905,330.46913434223393,3.6658702999100683,7.454705481985741,10.224859166493843,332.86064494695876
v,-20.84307242132479,-16.104892889574728,-7.979849467564293,302.7308476747153,8.452668748904443,16.36719115247456,21.59361066143225,305.6472702697815
c/a,-0.10771932542633678,-0.08079820201831023,-0.040496474449441044,0.8757163011248315,0.037773898363934855,0.06966621905452974,0.08533139849132221,0.8804259517035522
b/a,-0.03131115460242451,-0.024103355687529304,-0.011635913349354876,0.9629133446844204,0.012178497284999423,0.023955237184761335,0.03141371981527585,0.961539522967237
c/b,-0.0991835782348055,-0.07652448684920743,-0.03992319233143937,0.9080306100328318,0.04056306143030153,0.07449970235451786,0.08816761762505976,0.9156419790074
